Region type,Region,Professionals,Technician/Trades,Managers,Clerical/Administrative,Community and Personal Service,Sales workers,Labourers,Machinery operators and drivers
Regional,Ballarat,12096,7328,6051,6522,7300,5024,5233,2750
Regional,Bendigo,12043,7830,6276,6637,7514,5067,6529,3472
Regional,Geelong,36238,22959,19701,17750,20819,13697,14689,9030
Regional,Hume,14298,13044,13250,9056,11155,6876,10412,6046
Regional,Latrobe - Gippsland,10637,9845,8482,7417,8513,5646,7839,4414
Melbourne,Melbourne - Inner,149768,27740,62231,42002,33922,24960,16482,7553
Melbourne,Melbourne - Inner East,66923,14307,32272,23071,15930,16303,8916,4180
Melbourne,Melbourne - Inner South,73704,19651,41917,28401,20134,18682,9887,5259
Melbourne,Melbourne - North East,65775,36124,33801,35885,29996,22251,21290,15756
Melbourne,Melbourne - North West,39724,27517,22279,26461,21781,16070,17563,15287
Melbourne,Melbourne - Outer East,64073,39144,36211,35880,28365,22704,20698,12185
Melbourne,Melbourne - South East,82290,58218,44540,51591,44656,34793,44969,34732
Melbourne,Melbourne - West,85876,49022,44535,53596,43835,32709,38283,40182
Regional,Mornington Peninsula,28198,24292,20040,17683,17583,13584,13148,7150
Regional,North West,12597,8726,12597,6776,8282,5679,10282,4750
Regional,Shepparton,9414,8512,9437,6226,7155,5278,8934,4191
Regional,Warrnambool and South West,9526,8086,10973,5622,7153,5056,8885,4191
